,diarization error rate,total,correct,correct,false alarm,false alarm,missed detection,missed detection,confusion,confusion
,%,,,%,,%,,%,,%
item,,,,,,,,,,
EN2002a,41.32874798583868,2426.56999999981,1525.8739999999027,62.88192798889058,102.17499999998024,4.210675974729278,419.0189999999435,17.267954355323617,481.6769999999634,19.850117655785787
EN2002b,35.413205537805574,1877.999999999909,1291.3409999999424,68.76150159744435,78.40099999998955,4.174707135249912,291.7779999999806,15.536634717784596,294.88099999998633,15.701863684771066
EN2002c,25.17256297750736,3259.099999999791,2523.1509999998693,77.41864318370197,84.44999999996726,2.5912061612093114,507.9519999999517,15.585652480745734,227.99699999997094,6.9957043355523165
EN2002d,43.12236090773033,2581.379999999841,1569.4939999999206,60.800579534978084,101.2659999999797,3.922940442708394,509.6609999999591,19.743741719544992,502.2249999999618,19.455678745476945
ES2004a,41.62159434914278,891.9000000000203,564.1650000000096,63.254288597376025,43.48800000000204,4.875882946518786,117.01000000000639,13.119183764996492,210.72500000000446,23.626527637627497
ES2004b,40.48999113283598,2176.5699999998455,1393.5379999999195,64.02449725945034,98.26099999997923,4.514488392286313,161.6899999999602,7.4286606909022765,621.341999999966,28.546842049647385
ES2004c,34.99883323495735,2185.5299999998742,1541.5129999999285,70.5326854355702,120.89299999997348,5.531518670527536,134.9649999999728,6.175389951178001,509.0519999999731,23.291924613251812
ES2004d,39.28194068968163,1938.279999999869,1303.565999999936,67.25375074808717,126.67999999997637,6.535691437768792,207.57399999997511,10.709185463399981,427.1399999999582,22.037063788512864
IS1009a,31.854578923148235,673.6300000000152,512.5890000000089,76.09355284057975,53.541000000002064,7.94813176372799,63.66900000000369,9.451627748170695,97.37200000000254,14.454819411249549
IS1009b,30.2728176143584,1932.059999999917,1409.846999999959,72.97118101922402,62.675999999989685,3.243998633582413,139.61899999998036,7.226431891348424,382.59399999997765,19.80238708942756
IS1009c,32.87178234371327,1555.479999999949,1121.2529999999683,72.08405122534555,77.08699999999357,4.955833569058817,58.97899999998808,3.7916913107201644,375.24799999999277,24.124257463934285
IS1009d,28.159232676651097,1681.6899999999234,1307.4179999999596,77.74429294340926,99.27899999998834,5.903525620060347,144.6629999999787,8.602239413922023,229.60899999998526,13.653467642668726
TS3003a,28.224418748231173,1004.2119999999667,766.1359999999836,76.29225701346022,45.35699999999472,4.516675761691379,121.9799999999923,12.146837520363862,116.09599999999081,11.560905466175933
TS3003b,37.33354644771839,1783.0799999999076,1249.2519999999456,70.06146667564047,131.85899999998054,7.395013123358871,107.92599999997736,6.052785068532144,425.90199999998464,23.88574825582737
TS3003c,31.521395548863534,1860.1999999999016,1394.4839999999517,74.9641973981306,120.64499999997841,6.485592946994129,152.28899999997353,8.18670035479957,313.4269999999766,16.84910224706984
TS3003d,38.40463074969503,2000.5399999998467,1379.4459999999187,68.95368250572469,147.20599999996196,7.3583132554196995,279.1959999999649,13.956031871394039,341.8979999999632,17.090285622881293
TOTAL,35.09568555577858,29828.221999998386,20853.066999999126,69.91052634649245,1493.2639999997373,5.006211902271003,3417.969999999608,11.45884592115411,5557.184999999657,18.630627732353464
