,diarization error rate,total,correct,correct,false alarm,false alarm,missed detection,missed detection,confusion,confusion
,%,,,%,,%,,%,,%
item,,,,,,,,,,
aepyx,32.24315652945586,146.48999999999975,104.0369999999999,71.0198648371903,4.7799999999999745,3.2630213666461754,11.014999999999834,7.519284592804869,31.438000000000002,21.460850570004816
aggyz,18.989617420110573,247.52999999999966,205.97699999999983,83.21294388558967,5.451999999999815,2.2025613057002476,8.54399999999999,3.451702823900134,33.00899999999984,13.335353290510193
aiqwk,38.8093881736355,175.53999999999954,118.68199999999977,67.60966161558623,11.26799999999978,6.419049789221722,6.458999999999865,3.6795032471230953,50.39899999999993,28.710835137290683
aorju,12.365367673245926,1066.9799999999982,963.2899999999998,90.2819171868265,28.24600000000073,2.6472848600724266,29.215999999998814,2.7381956550262294,74.4739999999996,6.979887158147269
auzru,6.409253442383436,506.19000000000085,479.5440000000003,94.73596870740226,5.797000000000276,1.145222149785706,7.858000000000246,1.5523815168217925,18.788000000000252,3.711649775775938
bgvvt,15.777511961722471,994.8400000000008,875.7790000000012,88.0321458727032,37.900000000000496,3.809657834425683,64.69599999999957,6.503156286437971,54.3649999999999,5.464697840858817
bidnq,28.953090123714226,1106.5900000000192,817.9180000000067,73.91337351683934,31.72000000000278,2.8664636405536132,128.09700000000697,11.575832060655234,160.5750000000051,14.510794422505382
bjruf,35.09448077136208,360.92000000000064,249.54700000000048,69.14191510584064,15.29000000000008,4.236395877202719,51.27499999999998,14.206749418153578,60.098000000000184,16.651335476005784
bmsyn,36.201738287338145,577.5800000000155,422.36700000000695,73.12701270819551,53.881000000004676,9.328750995533646,87.64500000000535,15.174521278438137,67.5680000000032,11.698466013366353
bpzsc,11.061626807319996,1025.6900000000014,930.285000000001,90.698456648695,18.05300000000034,1.7600834560150058,43.35000000000075,4.226423188292826,52.05499999999954,5.075120163012164
bvqnu,16.064359596475583,548.1700000000002,470.98000000000013,85.91860189357315,10.870000000000147,1.9829614900487333,18.372000000000035,3.3515150409544536,58.81800000000004,10.729883065472393
bvyvm,23.577041011881896,104.36,82.408,78.96512073591414,2.6529999999999596,2.542161747796052,6.781000000000004,6.497700268302035,15.170999999999982,14.537178995783806
bxcfq,5.785413744740434,199.63999999999973,188.75299999999987,94.54668403125633,0.6629999999999541,0.33209777599677165,6.325999999999922,3.168703666599845,4.560999999999911,2.2846123021438176
byapz,24.814618388698822,414.8200000000005,319.5250000000001,77.02738537196849,7.641000000000192,1.8420037606673214,18.44200000000029,4.445783713417933,76.8530000000001,18.526830914613566
cadba,31.510469722693742,176.69999999999965,124.34099999999982,70.36842105263162,3.3199999999998844,1.8788907753253488,13.817999999999945,7.82003395585737,38.5409999999999,21.81154499151102
cawnd,27.37298919673187,1139.47,840.5559999999998,73.7672777694893,12.99300000000055,1.1402669662211862,37.378999999999365,3.2803847402739312,261.5350000000007,22.95233749023675
clfcg,23.93245140787837,270.6200000000001,217.53199999999998,80.38282462493528,11.678000000000324,4.3152760328136575,9.449000000000126,3.491611854260632,43.639000000000024,16.125563520804082
cpebh,5.358439832486013,647.1100000000001,614.4510000000002,94.95309916397524,2.0160000000003677,0.3115389964612457,32.65899999999988,5.046900836024768,0.0,0.0
cqfmj,10.992174399105565,107.33999999999978,96.20099999999987,89.62269424259368,0.6599999999999744,0.6148686416992508,8.135999999999928,7.579653437674628,3.002999999999986,2.7976523197316863
crorm,3.98868067777908,869.3100000000014,841.9030000000008,96.84726967364915,7.267000000000735,0.8359503514282274,17.148000000000515,1.9725989577941687,10.259000000000128,1.180131368556684
crylr,37.57219042663879,153.7599999999996,102.54199999999985,66.68964620187312,6.552999999999905,4.261836628511916,8.229999999999805,5.352497398543071,42.98799999999994,27.9578563995838
