,diarization error rate,total,correct,correct,false alarm,false alarm,missed detection,missed detection,confusion,confusion
,%,,,%,,%,,%,,%
item,,,,,,,,,,
EN2002a,36.688904385823236,2910.9699999999857,1842.9669999999953,63.31109561417687,0.0,0.0,965.8979999999963,33.18131069712161,102.10499999999705,3.50759368870162
EN2002b,33.78063445301221,2173.777999999997,1439.4619999999977,66.21936554698776,0.0,0.0,654.0449999999998,30.087939062774613,80.27099999999902,3.6926953902376014
EN2002c,30.902735837023844,3551.636999999985,2454.0839999999894,69.0972641629761,0.0,0.0,902.1249999999945,25.400259091793398,195.4279999999994,5.502476745230445
EN2002d,37.8736712869153,3042.981999999991,1890.4929999999945,62.12632871308473,0.0,0.0,1065.9419999999973,35.02952038493821,86.54700000000008,2.844150901977085
ES2004a,25.013240379687524,1051.7069999999997,788.6409999999994,74.98675962031247,0.0,0.0,223.8920000000005,21.288438700132318,39.17399999999967,3.7248016795552075
ES2004b,16.961220999575236,2403.8009999999936,1996.0869999999966,83.03877900042482,0.0,0.0,334.3549999999992,13.9094292747195,73.3589999999992,3.0517917248557342
ES2004c,17.826891103524897,2439.5279999999957,2004.635999999997,82.17310889647509,0.0,0.0,377.0309999999989,15.455079835115628,57.86099999999921,2.371811268409271
ES2004d,24.858799088237877,2258.483999999989,1697.0519999999933,75.14120091176213,0.0,0.0,453.4809999999968,20.07899989550508,107.95099999999881,4.779799192732796
IS1009a,23.00261864563803,771.7729999999995,594.2449999999995,76.99738135436196,0.0,0.0,143.1619999999995,18.549754914981424,34.366000000000376,4.452863730656605
IS1009b,15.489122706894559,2074.642999999996,1753.298999999998,84.51087729310544,0.0,0.0,277.7909999999981,13.38982176692562,43.55299999999972,2.0993009399689395
IS1009c,11.428375889331498,1680.334999999996,1488.299999999998,88.5716241106685,0.0,0.0,144.7909999999984,8.61679367507067,47.243999999999545,2.8115822142608264
IS1009d,18.88140870608683,1891.6649999999956,1534.491999999999,81.11859129391317,0.0,0.0,293.8609999999982,15.534515889441256,63.31199999999836,3.3468928166455747
TOTAL,25.779844147164756,26251.30299999993,19483.757999999958,74.22015585283523,0.0,0.0,5836.373999999978,22.232702125300193,931.1709999999905,3.547142021864564
